,Close,Market_daily_ret,Strat_daily_ret,Strat_position_EOD,Long_only,Costs,Market_cum_ret,Strat_cum_ret
2004-09-21,1129.300048828125,0.006326945255019423,0.0,0,0,0.0,4250.282505829741,24059.34919854446
2004-09-22,1113.56005859375,-0.013937828348372427,-0.0,0,0,0.0,4191.0427978313965,24059.34919854446
2004-09-23,1108.3599853515625,-0.0046697734909371125,-0.0,0,0,0.0,4171.4715772746995,24059.34919854446
2004-09-24,1110.1099853515625,0.001578909400491213,0.0,0,0,0.0,4178.057952961941,24059.34919854446
2004-09-27,1103.52001953125,-0.005936317939006286,-0.0,0,0,0.0,4153.255672585565,24059.34919854446
2004-09-28,1110.06005859375,0.005926525071360267,0.0,0,0,0.0,4177.870046456913,24059.34919854446
2004-09-29,1114.800048828125,0.0042700304345510975,0.0,0,0,0.0,4195.709678706883,24059.34919854446
2004-09-30,1114.5799560546875,-0.0001974280263701278,-0.0,0,0,0.0,4194.881328025794,24059.34919854446
2004-10-01,1131.5,0.015180646173832857,0.0,0,0,0.0,4258.562337207772,24059.34919854446
2004-10-04,1135.1700439453125,0.0032435209415047073,0.0,0,0,0.0,4272.375073329208,24059.34919854446
2004-10-05,1134.47998046875,-0.0006078943681108173,-0.0,0,0,0.0,4269.777920583674,24059.34919854446
2004-10-06,1142.050048828125,0.00667272097322269,0.0,0,0,0.0,4298.268957265355,24059.34919854446
2004-10-07,1130.6500244140625,-0.00998207077330826,-0.0,0,0,0.0,4255.363332331219,24059.34919854446
2004-10-08,1122.1400146484375,-0.0075266524405155355,-0.0,0,0,0.0,4223.334691520648,24059.34919854446
2004-10-11,1124.3900146484375,0.002005097377001386,0.0,0,0,0.0,4231.802888832815,24059.34919854446
2004-10-12,1121.8399658203125,-0.0022679397672544788,-0.0,0,0,0.0,4222.205414774048,24059.34919854446
2004-10-13,1113.6500244140625,-0.007300454303445503,-0.0,0,0,0.0,4191.38139708373,24059.34919854446
2004-10-14,1103.2900390625,-0.00930272987423797,-0.0,0,0,0.0,4152.390108146754,24059.34919854446
2004-10-15,1108.199951171875,0.004450246023744775,0.0,0,0,0.0,4170.869265714571,24059.34919854446
2004-10-18,1114.02001953125,0.005251821526630174,0.0,0,0,0.0,4192.773926709011,24059.34919854446
2004-10-19,1103.22998046875,-0.009685677881300703,-0.0,0,0,0.0,4152.164069025791,24059.34919854446
2004-10-20,1103.6600341796875,0.00038981329237874895,0.0,0,0,0.0,4153.782637772035,24059.34919854446
2004-10-21,1106.489990234375,0.0025641555977795605,0.0,0,0,0.0,4164.433582774637,24059.34919854446
2004-10-22,1095.739990234375,-0.009715406460859999,-0.0,0,0,0.0,4123.974417838726,24059.34919854446
2004-10-25,1094.800048828125,-0.0008578142758566276,-0.0,0,0,0.0,4120.436813709836,24059.34919854446
2004-10-26,1111.0899658203125,0.01487935354919312,0.0,0,0,0.0,4181.746249838136,24059.34919854446
2004-10-27,1125.4000244140625,0.012879297837223191,0.0,0,0,0.0,4235.604205269492,24059.34919854446
2004-10-28,1127.43994140625,0.0018126150239330396,0.0,0,0,0.0,4243.281725087398,24059.34919854446
2004-10-29,1130.199951171875,0.0024480326306184352,0.0,0,0,0.0,4253.669417211318,24059.34919854446
2004-11-01,1130.510009765625,0.00027433959223621684,0.0,0,0,0.0,4254.836367144744,24059.34919854446
2004-11-02,1130.56005859375,4.427101723347704e-05,0.0,0,0,0.0,4255.024733078879,24059.34919854446
2004-11-03,1143.199951171875,0.011180204432347685,0.0,0,0,0.0,4302.596779459397,24059.34919854446
2004-11-04,1161.6700439453125,0.016156484921560743,0.0,0,0,0.0,4372.111619450288,24059.34919854446
2004-11-05,1166.1700439453125,0.0038737333578102717,0.0,0,0,0.0,4389.048014074623,24059.34919854446
2004-11-08,1164.8900146484375,-0.001097635206392833,-0.0,0,0,0.0,4384.230440451826,24059.34919854446
2004-11-09,1164.0799560546875,-0.0006953949158835515,-0.000111538462,1,0,0.000111538462,4381.181668893474,24056.665655738136
2004-11-10,1162.9100341796875,-0.0010050184859853317,-0.0010050184859853317,1,0,0.0,4376.778500325777,24032.48826204295
2004-11-11,1173.47998046875,0.009089220987346991,0.009089220987346991,1,0,0.0,4416.5600073279065,24250.92485873248
2004-11-12,1184.1700439453125,0.009109710991654252,0.009109710991654252,1,0,0.0,4456.793592571962,24471.84377547586
2004-11-15,1183.81005859375,-0.0003039980224149863,-0.0003039980224149863,1,0,0.0,4455.438736133508,24464.404383363264
2004-11-16,1175.4300537109375,-0.007078842439273703,-0.007078842439273703,1,0,0.0,4423.899387322583,24291.22471936276
2004-11-17,1181.93994140625,0.005538302917098559,0.005538302917098559,1,0,0.0,4448.400282204342,24425.7568800859
2004-11-18,1183.550048828125,0.0013622582378927106,0.0013622582378927106,1,0,0.0,4454.460152134219,24459.031068612563
2004-11-19,1170.3399658203125,-0.011161406330803092,-0.011161406330803092,1,0,0.0,4404.742112391878,24186.033884398043
2004-11-22,1177.239990234375,0.0058957436433662025,0.0058957436433662025,1,0,0.0,4430.711342701681,24328.62853993022
2004-11-23,1176.93994140625,-0.0002548748178909932,-0.0002548748178909932,1,0,0.0,4429.582065955082,24322.42778516157
2004-11-24,1181.760009765625,0.004095424235170286,0.004095424235170286,1,0,0.0,4447.7230836996705,24422.038445371098
2004-11-26,1182.6500244140625,0.0007531263886768613,0.0007531263886768613,1,0,0.0,4451.072781323532,24440.431326989587
2004-11-29,1178.5699462890625,-0.003449945495939466,-0.003449945495939466,1,0,0.0,4435.716822829506,24356.11317101422
2004-11-30,1173.8199462890625,-0.00403030809919791,-0.00403030809919791,1,0,0.0,4417.839517392708,24257.950530836104
2004-12-01,1191.3699951171875,0.014951227301604586,0.014951227301604586,1,0,0.0,4483.891640199257,24620.636663093715
2004-12-02,1190.3299560546875,-0.0008729773846601896,-0.0008729773846601896,1,0,0.0,4479.977304202097,24599.143404090897
2004-12-03,1191.1700439453125,0.000705760521569454,0.000705760521569454,1,0,0.0,4483.139095320929,24616.50450836993
2004-12-06,1190.25,-0.0007723867385592831,-0.0007723867385592831,1,0,0.0,4479.676378136587,24597.49104673798
2004-12-07,1177.0699462890625,-0.011073349053507653,-0.011073349053507653,1,0,0.0,4430.071357954728,24325.11444253692
2004-12-08,1182.81005859375,0.004876611048293622,0.004876611048293622,1,0,0.0,4451.675092883659,24443.738564378404
2004-12-09,1189.239990234375,0.005436148935247909,0.005436148935247909,1,0,0.0,4475.875061699908,24576.61836774863
2004-12-10,1188.0,-0.0010426745186483677,-0.0010426745186483677,1,0,0.0,4471.20818082442,24550.992954022033
2004-12-13,1198.6800537109375,0.008989944201125866,0.008989944201125866,1,0,0.0,4511.404092881649,24771.705010760925
2004-12-14,1203.3800048828125,0.003920938833781973,0.003920938833781973,1,0,0.0,4529.093032384312,24868.833350916608
2004-12-15,1205.719970703125,0.0019444945161277705,0.0019444945161277705,1,0,0.0,4537.899828948816,24917.190660989963
2004-12-16,1203.2099609375,-0.00208175183841508,-0.00208175183841508,1,0,0.0,4528.453047637358,24865.319253523307
2004-12-17,1194.199951171875,-0.007488310484568106,-0.007488310484568106,1,0,0.0,4494.542585201861,24679.120022655017
2004-12-20,1194.6500244140625,0.0003768826499663813,0.0003768826499663813,1,0,0.0,4496.236500321758,24688.42115480799
2004-12-21,1205.449951171875,0.00904024319851282,0.00904024319851282,1,0,0.0,4536.883571762697,24911.610486234764
2004-12-22,1209.5699462890625,0.0034178068638870407,0.0034178068638870407,1,0,0.0,4552.3897635749245,24996.753559545097
2004-12-23,1210.1300048828125,0.0004630229078261827,0.0004630229078261827,1,0,0.0,4554.497624320813,25008.327629064454
2004-12-27,1204.9200439453125,-0.004305290271688245,-0.004305290271688245,1,0,0.0,4534.889190006397,24900.65951941185
2004-12-28,1213.5400390625,0.007153997612125984,0.007153997612125984,1,0,0.0,4567.331776442959,25078.798778154083
2004-12-29,1213.449951171875,-7.423561458641537e-05,-7.423561458641537e-05,1,0,0.0,4566.992717761515,25076.937038113698
2004-12-30,1213.550048828125,8.249013991323828e-05,8.249013991323828e-05,1,0,0.0,4567.369449629787,25079.005638158567
